AGCnr,srcname,RADecpoint,wappname1,wappname2,wappname3,#pr,d/n,quad,cont,ord,Xsmo,rms,fit,W50,Werr,Vsys,Flux,SN,Wqual,Comment
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,d,2,-5.52897,1,H3,1.44676,2P,114.57321,13.085806,4678.2954,0.81543462,8.6814951,Y,"Some huge spike around 1388 in the same board, around 7000 km/s what is it?? very choppy on right side emission, hard to fit"
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,n,3,-6.32694,1,H3,1.46037,0,0,0,0,0,0,Y,
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,n,1,-1.20811,2,H3,1.46645,0,0,0,0,0,0,Y,0
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,n,4,-4.95241,3,H3,1.58481,0,0,0,0,0,0,Y,
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,n,1,-13.9677,2,H3,1.18079,0,0,0,0,0,0,Y,
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,d?,2,-12.52,3,H3,1.20255,0,0,0,0,0,0,U,"this could have been a signal but it is uncertain because it is so choppy, and couldnt measure the area around 5500 km/s"
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,n,3,-15.5575,3,H3,1.16569,0,0,0,0,0,0,Y,
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,n,4,-11.8997,2,H3,1.39448,0,0,0,0,0,0,Y,
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,2,-54.7388,3,H3,1.125,0,0,0,0,0,0,U,"There is still a big spike but it is in the negative direction a little under 7000 km/s, multiple spikes total of similar widths "
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,1,-33.1919,1,H3,0.842402,0,0,0,0,0,0,Y,pickedfirstorderisteadofrecomeendedfifth
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,3,-33.7321,3,H3,0.7268,0,0,0,0,0,0,Y,"noisy, sloping upward"
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,4,-33.4915,3,H3,0.900555,0,0,0,0,0,0,Y,
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,d,2,17.8522,0,H3,0.935378,2P,144.1381,4.5012338,6272.7174,0.77021407,11.307809,Y,"there are 2 peaks close together, but the one I measured is just a tiny bit bigger, maybe it's just noisy"
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,n,1,21.5508,1,H3,0.7582,0,0,0,0,0,0,Y,changed the order from fifth to first
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,n,3,18.5494,3,H3,0.689326,0,0,0,0,0,0,Y,noisy
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,n,4,22.4675,0,H3,0.861991,0,0,0,0,0,0,Y,
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,d,2,7.67138,1,H3,1.08261,0,0,0,0,0,0,U,"2 or 3 separte emissions again!!!, possible megamaser??? @ z = .1467"
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,n,3,3.16427,1,H3,1.06542,0,0,0,0,0,0,Y,very noisy
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,n,1,6.00813,2,H3,1.05154,0,0,0,0,0,0,Y,0
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,n,4,3.83719,2,H3,1.24006,0,0,0,0,0,0,Y,all interference is in the off direction
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,3,52.199,0,H3,0.956405,0,0,0,0,0,0,U,"8041.6635 possibly, very choppy/noisy spectrum "
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,1,53.5109,1,H3,0.892695,0,0,0,0,0,0,Y,"spike around 600 km/s in the on direction, I changed it from sixth to first order"
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,2,53.6975,1,H3,0.952333,0,0,0,0,0,0,Y,changed from seventh to first order
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,4,48.8952,2,H3,0.897424,0,0,0,0,0,0,Y,
322546,S223739.9+345323,223739.9+345323,wapp.20150903.a2982.0001,""" """,""" """,1,d,3,4.24476,1,H3,1.08625,2P,144.66311,5.4902599,8349.1331,0.32086746,4.1083484,Y,"perhaps a little too wide, could not select the right side region emission for the life of me"
322546,S223739.9+345323,223739.9+345323,wapp.20150903.a2982.0001,""" """,""" """,1,n,1,0.5780078,2,H3,1.00755,0,0,0,0,0,0,Y,
322546,S223739.9+345323,223739.9+345323,wapp.20150903.a2982.0001,""" """,""" """,1,n,2,1.71287,1,H3,1.06536,0,0,0,0,0,0,U,"some spike, but far too noisy to measure any of it "
322546,S223739.9+345323,223739.9+345323,wapp.20150903.a2982.0001,""" """,""" """,1,n,4,3.74363,2,H3,1.16828,0,0,0,0,0,0,Y,
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,3,-11.202,0,H3,0.782426,0,0,0,0,0,0,Y,"removed the GPS from the second file, and the second file was still very erratic, too choppy to confidently say any real signal"
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,1,-12.669,2,H3,0.781292,0,0,0,0,0,0,Y,
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,2,-12.3354,3,H3,0.999856,0,0,0,0,0,0,Y,"spike in the off direction around 7000 again, I changed it from fourth to third order"
322547,S223742.8+351857,223742.8+351857,wapp.20151128.a2982.0005,wapp.20151124.a2982.0004,""" """,2,n,4,-8.135,1,H3,0.951042,0,0,0,0,0,0,Y,
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,n,1,-13.6499,2,H3,0.698638,0,0,0,0,0,0,Y,spike at 600 km/s in the off direction
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,d,2,-15.6936,0,H3,0.699809,2P,196.15477,21.754008,7465.0774,1.040914,17.509749,Y,big peak compared to rest 
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,n,3,-18.4666,2,H3,0.923757,0,0,0,0,0,0,Y,take gps out of the second wappfile here
322553,S223858.2+340304,223858.2+340304, wapp.20151130.a2982.0005,wapp.20151124.a2982.0006,""" """,2,n,4,-12.1134,2,H3,0.819825,0,0,0,0,0,0,Y,
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,d?,3,-11.896,0,H3,0.608747,0,0,0,0,0,0,U,"did not use the middle wappfile due to the overabundance of noisy versus the other two wappfiles, det at 8350??"
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,n,1,-12.0936,1,H3,0.974182,0,0,0,0,0,0,Y,
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,n,2,-12.8073,1,H3,0.971204,0,0,0,0,0,0,Y,i didnt take out the gps because the effect was so miniscule
322564,S223909.4+335954,22399.4+335954,wapp.20151126.a2982.0004,wapp.20151115.a2982.0003,wapp.20151025.a2982.0010,3,n,4,-17.1754,1,H3,1.00687,0,0,0,0,0,0,Y,take out gps 
323052,S223922.7+340207,223922.7+340207,wapp.20151025.a2982.0011,""" """,""" """,1,n,2,-2.87407,1,H3+B5,1.21713,0,0,0,0,0,0,U,"It dipped down an awful lot, I wonder if it was just some sort of noise that made it look bigger on the right edge"
323052,S223922.7+340207,223922.7+340207,wapp.20151025.a2982.0011,""" """,""" """,1,n,1,-0.687294,1,H3,1.0666,0,0,0,0,0,0,Y,
323052,S223922.7+340207,223922.7+340207,wapp.20151025.a2982.0011,""" """,""" """,1,n,3,-3.28882,0,H3,1.31703,0,0,0,0,0,0,U,"very choppy, poor baseline fit"
323052,S223922.7+340207,223922.7+340207,wapp.20151025.a2982.0011,""" """,""" """,1,n,4,-2.26716,1,H3,1.22162,0,0,0,0,0,0,N,way too crazy when you zoom in 
323106,S224119.6+344856,224119.6+344856,wapp.20161013.a3064.0012,""" """,""" """,1,n,3,-14.4639,1,H3,1.39863,0,0,0,0,0,0,Y,very noisy 
323106,S224119.6+344856,224119.6+344856,wapp.20161013.a3064.0012,""" """,""" """,1,n,1,-9.8616,1,H3,1.22763,0,0,0,0,0,0,Y,
323106,S224119.6+344856,224119.6+344856,wapp.20161013.a3064.0012,""" """,""" """,1,n,2,-12.4895,1,H3,1.35108,0,0,0,0,0,0,Y,very noisy
323106,S224119.6+344856,224119.6+344856,wapp.20161013.a3064.0012,""" """,""" """,1,n,4,-15.7999,2,H3,1.19023,0,0,0,0,0,0,N,
322586,S224137.7+344918,224137.7+344918,wapp.20151130.a2982.0007,""" """,""" """,1,d,3,-19.8326,1,H3,1.31732,2P,55.13,2.72,9789.95,0.601,10.285819,Y,"MAY BE GAUSSIAN, took out GPS"
322586,S224137.7+344918,224137.7+344918,wapp.20151130.a2982.0007,""" """,""" """,1,n,1,-14.8699,2,H3,0.956201,0,0,0,0,0,0,Y,
322586,S224137.7+344918,224137.7+344918,wapp.20151130.a2982.0007,""" """,""" """,1,n,2,-15.8302,1,H3,1.29745,0,0,0,0,0,0,Y,Took out GPS signal
322586,S224137.7+344918,224137.7+344918,wapp.20151130.a2982.0007,""" """,""" """,1,n,4,-16.2766,2,H3,1.04549,0,0,0,0,0,0,Y,way too much interference
323008,S224214.1+335848,224214.1+335848,wapp.20151107.a2982.0009,wapp.20151006.a2982.0004,""" """,2,n,2,-2.71672,0,H3,0.652748,0,0,0,0,0,0,U,seems like it is mostly noise 
323008,S224214.1+335848,224214.1+335848,wapp.20151107.a2982.0009,wapp.20151006.a2982.0004,""" """,2,n,1,-1.08184,2,H3,0.602139,0,0,0,0,0,0,Y,
323008,S224214.1+335848,224214.1+335848,wapp.20151107.a2982.0009,wapp.20151006.a2982.0004,""" """,2,n,3,-4.41254,2,H3,0.718218,0,0,0,0,0,0,Y,took out huge gps signal
323008,S224214.1+335848,224214.1+335848,wapp.20151107.a2982.0009,wapp.20151006.a2982.0004,""" """,2,n,4,-3.06763,1,H3,0.741808,0,0,0,0,0,0,Y,looks different from the rest of the board fours i have seen
322612,S224255.5+344436,224255.5+344436,wapp.20161029.a3064.0012,""" """,""" """,1,n,2,-0.995575,2,H3+B5,1.23225,0,0,0,0,0,0,U,"lots of noise, signal around 4700??"
322612,S224255.5+344436,224255.5+344436,wapp.20161029.a3064.0012,""" """,""" """,1,n,1,-4.67255,1,H3,1.11896,0,0,0,0,0,0,Y,
322612,S224255.5+344436,224255.5+344436,wapp.20161029.a3064.0012,""" """,""" """,1,n,3,-2.7707,1,H3,1.35344,0,0,0,0,0,0,Y,took out GPS
322612,S224255.5+344436,224255.5+344436,wapp.20161029.a3064.0012,""" """,""" """,1,n,4,1.59765,2,H3,1.15361,0,0,0,0,0,0,U,maybe this was too crazy to use
322579,S224323.0+344434,224323.0+344434,wapp.20151006.a2982.0005,""" """,""" """,1,d,2,-16.9117,2,H3,1.0817,2P,74.776162,2.1473788,6686.0704,0.20725484,3.6530014,U,"This was very noisy, so it may be crappy data who knows :P"
322579,S224323.0+344434,224323.0+344434,wapp.20151006.a2982.0005,""" """,""" """,1,n,1,-19.2909,1,H3,1.04799,0,0,0,0,0,0,Y,
322579,S224323.0+344434,224323.0+344434,wapp.20151006.a2982.0005,""" """,""" """,1,n,3,-20.8419,2,H3,1.10694,0,0,0,0,,0,Y,no GPS needed to be taken out
322579,S224323.0+344434,224323.0+344434,wapp.20151006.a2982.0005,""" """,""" """,1,n,4,-17.4445,2,H3,1.16556,0,0,0,0,0,0,U,radar looks a little different than normal in the first peak around 1.6*10^4
322635,S225910.9+342642,225910.9+342642,wapp.20150902.a2982.0001,""" """,""" """,1,d,1,-2.44783,2,H3,1.00281,0,0,0,0,0,0,U,could be a detection in the off around 5950 km/s
322635,S225910.9+342642,225910.9+342642,wapp.20150902.a2982.0001,""" """,""" """,1,n,2,-4.72757,2,H3,1.05598,0,0,0,0,0,0,U,looks like there could be a signal in the off direction but I don't know how to do that
322635,S225910.9+342642,225910.9+342642,wapp.20150902.a2982.0001,""" """,""" """,1,n,3,-0.64769,1,H3,1.07345,0,0,0,0,0,0,Y,very noisy
322635,S225910.9+342642,225910.9+342642,wapp.20150902.a2982.0001,""" """,""" """,1,n,4,-4.28092,0,H3,1.03203,0,0,0,0,0,0,Y,
336090,S230344.2+342024,230344.2+342024,wapp.20151126.a2982.0005,wapp.20151118.a2982.0005,""" """,2,n,2,-10.7105,0,H3,0.83521,0,0,0,0,0,0,U,"strange emission around 7000 km/s again, multiple peaks surrounding 4000 km/s, then after 7000 km/s"
336090,S230344.2+342024,230344.2+342024,wapp.20151126.a2982.0005,wapp.20151118.a2982.0005,""" """,2,n,1,-9.67537,1,H3,0.671757,0,0,0,0,0,0,Y,
336090,S230344.2+342024,230344.2+342024,wapp.20151126.a2982.0005,wapp.20151118.a2982.0005,""" """,2,n,3,-10.3529,0,H3,0.614799,0,0,0,0,0,0,Y,choppy
336090,S230344.2+342024,230344.2+342024,wapp.20151126.a2982.0005,wapp.20151118.a2982.0005,""" """,2,n,4,-10.1711,0,H3,0.84943,0,0,0,0,0,0,Y,board 4 looks different around 1.57*10^4 where it spikes up and then spikes down
335255,S230515.3+342514,230515.3+342514,wapp.20151130.a2982.0009,""" """,""" """,1,d,2,-198.004,3,H3,1.28082,2P,80.814291,15.596115,5945.4244,0.5842951,8.3665135,Y,"crazy downward slope when doing the baseline, large uncertainty in W50 measurement  "
335255,S230515.3+342514,230515.3+342514,wapp.20151130.a2982.0009,""" """,""" """,1,n,1,-175.398,1,H3,1.08669,0,0,0,0,0,0,Y,More wiggley than any other baselines of the other board 1 spectra
335255,S230515.3+342514,230515.3+342514,wapp.20151130.a2982.0009,""" """,""" """,1,n,3,-204.377,2,H3,1.14144,0,0,0,0,0,0,Y,downward slope 
335255,S230515.3+342514,230515.3+342514,wapp.20151130.a2982.0009,""" """,""" """,1,n,4,-216.573,2,H3,1.27592,0,0,0,0,0,0,U,
335311,S231146.0+342414,231146.0+342414,wapp.20150903.a2982.0003,""" """,""" """,1,n,2,-381.029,4,H3,1.44995,0,0,0,0,0,0,N,much too crazy to actually get anything from this 
335311,S231146.0+342414,231146.0+342414,wapp.20150903.a2982.0003,""" """,""" """,1,n,1,-375.003,1,H3,1.42472,0,0,0,0,0,0,Y,
335311,S231146.0+342414,231146.0+342414,wapp.20150903.a2982.0003,""" """,""" """,1,n,3,-380.277,1,H3,1.43492,0,0,0,0,0,0,Y,
335311,S231146.0+342414,231146.0+342414,wapp.20150903.a2982.0003,""" """,""" """,1,n,4,-384.208,1,H3,1.95822,0,0,0,0,0,0,N,huge rms
336092,S231621.5+341832,231621.5+341832,wapp.20161124.a3064.0006,wapp.20151118.a2982.0006,""" """,2,n,1,-4.78719,1,H3,0.593269,0,0,0,0,0,0,Y,there is a weird spike in the on direction around 1950 km/s
336092,S231621.5+341832,231621.5+341832,wapp.20161124.a3064.0006,wapp.20151118.a2982.0006,""" """,2,n,2,-6.0375,2,H3,0.775759,0,0,0,0,0,0,Y,no clear detection
336092,S231621.5+341832,231621.5+341832,wapp.20161124.a3064.0006,wapp.20151118.a2982.0006,""" """,2,n,3,-4.55939,0,H3,0.733887,0,0,0,0,0,0,Y,no clear detection
336092,S231621.5+341832,231621.5+341832,wapp.20161124.a3064.0006,wapp.20151118.a2982.0006,""" """,2,n,4,-6.73251,2,H3,0.681002,0,0,0,0,0,0,Y,
335256,S231828.9+342205,231828.9+342205,wapp.20151127.a2982.0007,""" """,""" """,1,d,2,29.8096,1,H3,1.22476,2P,86.404834,16.869964,5277.2423,0.27503325,3.9829954,U,"This was sloping crazily at an upward angle, but very clear detection "
335256,S231828.9+342205,231828.9+342205,wapp.20151127.a2982.0007,""" """,""" """,1,n,1,7.44732,2,H3,0.99682,0,0,0,0,0,0,Y,
335256,S231828.9+342205,231828.9+342205,wapp.20151127.a2982.0007,""" """,""" """,1,n,3,41.5322,2,H3,1.29173,0,0,0,0,0,0,U,sloping a lot
335256,S231828.9+342205,231828.9+342205,wapp.20151127.a2982.0007,""" """,""" """,1,n,4,45.4287,4,H3,1.23563,0,0,0,0,0,0,U,
336637,S232634.4+335450,232634.4+335450,wapp.20161028.a3064.0011,wapp.20161013.a3064.0018,""" """,2,n,3,-13.3556,0,H3,0.815425,0,0,0,0,0,0,U,"/gps performed, could be singal around 10,000 km/s but it is not certain"
336637,S232634.4+335450,232634.4+335450,wapp.20161028.a3064.0011,wapp.20161013.a3064.0018,""" """,2,n,1,-9.35663,1,H3,0.544007,0,0,0,0,0,0,Y,
336637,S232634.4+335450,232634.4+335450,wapp.20161028.a3064.0011,wapp.20161013.a3064.0018,""" """,2,n,2,-14.1879,1,H3,0.6382,0,0,0,0,0,0,Y,"remove gps, spike in off direction at 7000 km/s "
336637,S232634.4+335450,232634.4+335450,wapp.20161028.a3064.0011,wapp.20161013.a3064.0018,""" """,2,n,4,-11.8453,2,H3,0.632143,0,0,0,0,0,0,Y,
336639,S233126.5+335823,233126.5+335823,wapp.20161013.a3064.0019,""" """,""" """,1,n,2,170.654,2,H3,1.09011,0,0,0,0,0,0,U,"hard to tell if any detection is here, huge spike in the off at 6800 km/s"
336639,S233126.5+335823,233126.5+335823,wapp.20161013.a3064.0019,""" """,""" """,1,n,1,160.484,2,H3,1.14159,0,0,0,0,0,0,Y,
336639,S233126.5+335823,233126.5+335823,wapp.20161013.a3064.0019,""" """,""" """,1,n,3,182.056,3,H3,1.33629,0,0,0,0,0,0,Y,
336639,S233126.5+335823,233126.5+335823,wapp.20161013.a3064.0019,""" """,""" """,1,n,4,179.852,3,H3,1.25453,0,0,0,0,0,0,Y,
336705,S233409.4+343601,23349.4+343601,wapp.20161120.a3064.0010,wapp.20161028.a3064.0012,""" """,2,d,2,-4.60309,0,H3,0.729773,2P,81.325908,3.3227221,6528.8193,0.64774717,16.22724,Y,"This was close to the same 7000 km/s so I could just be seeing something of that, super clear detection "
336705,S233409.4+343601,23349.4+343601,wapp.20161120.a3064.0010,wapp.20161028.a3064.0012,""" """,2,n,1,-2.50269,2,H3,0.531613,0,0,0,0,0,0,Y,
336705,S233409.4+343601,23349.4+343601,wapp.20161120.a3064.0010,wapp.20161028.a3064.0012,""" """,2,n,3,-3.41557,1,H3,0.574646,0,0,0,0,0,0,Y,take out gps
336705,S233409.4+343601,23349.4+343601,wapp.20161120.a3064.0010,wapp.20161028.a3064.0012,""" """,2,n,4,-2.22436,0,H3,0.659993,0,0,0,0,0,0,Y,
335406,S233912.7+340020,233912.7+340020,wapp.20151125.a2982.0007,wapp.20151118.a2982.0008,""" """,2,d,3,-9.90525,0,H3,0.77844,2P,235.37461,5.8238227,8948.8135,0.26849767,3.7610154,Y,"Had to remove the gps to get a 2 horned profile, still choppy data"
335406,S233912.7+340020,233912.7+340020,wapp.20151125.a2982.0007,wapp.20151118.a2982.0008,""" """,2,n,1,-5.36057,2,H3,0.668004,0,0,0,0,0,0,Y,
335406,S233912.7+340020,233912.7+340020,wapp.20151125.a2982.0007,wapp.20151118.a2982.0008,""" """,2,n,2,-10.0291,4,H3,0.703905,0,0,0,0,0,0,Y,"remove gps, huge spike in the on direction around 7000 km/s"
335406,S233912.7+340020,233912.7+340020,wapp.20151125.a2982.0007,wapp.20151118.a2982.0008,""" """,2,n,4,-9.86007,4,H3,0.767635,0,0,0,0,0,0,Y,
336663,S233945.0+342418,233945.0+342418,wapp.20161015.a3064.0010,""" """,""" """,1,n,1,-17.9667,1,H3,0.993061,0,0,0,0,0,0,Y,The noise around the emission makes it impossible to use lbwmeasure
336663,S233945.0+342418,233945.0+342418,wapp.20161015.a3064.0010,""" """,""" """,1,n,2,-17.3196,1,H3,1.13376,0,0,0,0,0,0,Y,
336663,S233945.0+342418,233945.0+342418,wapp.20161015.a3064.0010,""" """,""" """,1,n,3,-20.0512,1,H3,1.12831,0,0,0,0,0,0,Y,no GPS taken out
336663,S233945.0+342418,233945.0+342418,wapp.20161015.a3064.0010,""" """,""" """,1,n,4,-12.9123,1,H3,1.20227,0,0,0,0,,0,Y,same large interference present in all of the boards
336665,S234237.9+344441,234237.9+344441,wapp.20161013.a3064.0021,""" """,""" """,1,n,1,-5.93565,0,H3,1.15453,0,0,0,0,0,0,Y,
336665,S234237.9+344441,234237.9+344441,wapp.20161013.a3064.0021,""" """,""" """,1,n,2,-2.75939,1,H3,1.16222,0,0,0,0,,0,U,
336665,S234237.9+344441,234237.9+344441,wapp.20161013.a3064.0021,""" """,""" """,1,n,3,-7.73157,2,H3,1.26867,0,0,0,0,0,0,,
336665,S234237.9+344441,234237.9+344441,wapp.20161013.a3064.0021,""" """,""" """,1,n,4,-6.60906,0,H3,1.24143,0,0,0,0,0,0,,
335440,S234328.6+335909,234328.6+335909,wapp.20151107.a2982.0014,wapp.20150903.a2982.0005,""" """,2,n,2,-4.41252,0,H3,0.700435,0,0,0,0,0,0,U,"this was one of them that had a nice profile to use, but together is very noisy w/o clear signal"
335440,S234328.6+335909,234328.6+335909,wapp.20151107.a2982.0014,wapp.20150903.a2982.0005,""" """,2,n,1,-4.77617,3,H3,0.627312,0,0,0,0,0,0,Y,
335440,S234328.6+335909,234328.6+335909,wapp.20151107.a2982.0014,wapp.20150903.a2982.0005,""" """,2,n,3,-0.89628,1,H3,0.903683,0,0,0,0,0,0,Y,changed the order from 0 to 1 but they had the same rms value
335440,S234328.6+335909,234328.6+335909,wapp.20151107.a2982.0014,wapp.20150903.a2982.0005,""" """,2,n,4,-4.44991,5,H3,0.700231,0,0,0,0,0,0,Y,
335587,S235050.9+360132,235050.9+360132,wapp.20161015.a3064.0011,""" """,""" """,1,d,3,-0.479929,2,H3,1.20572,2P,152.12071,11.083308,8459.5686,0.82435563,9.2732222,Y,"may be too thin, could not get everything to fit correctly on the right side, gps has no significant effect "
335587,S235050.9+360132,235050.9+360132,wapp.20161015.a3064.0011,""" """,""" """,1,n,1,-0.260914,1,H3,1.1688,0,0,0,0,0,0,Y,
335587,S235050.9+360132,235050.9+360132,wapp.20161015.a3064.0011,""" """,""" """,1,n,2,-3.52543,1,H3,1.18492,0,0,0,0,0,0,Y,"very noisy, no clear significant RFI"
335587,S235050.9+360132,235050.9+360132,wapp.20161015.a3064.0011,""" """,""" """,1,n,4,-9.41265,0,H3,1.43678,0,0,0,0,0,0,Y,going in the off direction
335262,S235741.3+360608,235741.3+360608,wapp.20161114.a3064.0011,wapp.20161028.a3064.0013,wapp.20161015.a3064.0012,3,d,2,-5.33589,0,H3,0.79146,2P,72.502973,6.5109032,4923.4861,0.26910092,6.5833573,Y,"only cut off a little bit along the right edge, huge emission spike around 7000km/s"
335262,S235741.3+360608,235741.3+360608,wapp.20161114.a3064.0011,wapp.20161028.a3064.0013,wapp.20161015.a3064.0012,3,n,1,-2.81966,1,H3,0.507226,0,0,0,0,0,0,Y,
335262,S235741.3+360608,235741.3+360608,wapp.20161114.a3064.0011,wapp.20161028.a3064.0013,wapp.20161015.a3064.0012,3,n,3,-8.00721,0,H3,0.553619,0,0,0,0,0,0,Y,"take gps out of board 1 and board two of the second wappfile, very noisy"
335262,S235741.3+360608,235741.3+360608,wapp.20161114.a3064.0011,wapp.20161028.a3064.0013,wapp.20161015.a3064.0012,3,n,4,-7.18441,3,H3,0.549148,0,0,0,0,0,0,,
104513,S000217.0+342252,000217.0+342252,wapp.20161013.a3064.0022,""" """,""" """,1,n,1,-5.56183,2,H3,1.03337,0,0,0,0,0,0,Y,yet again......another wappfile with oodles of crappy data
104513,S000217.0+342252,000217.0+342252,wapp.20161013.a3064.0022,""" """,""" """,1,n,2,-4.45808,1,H3,1.15837,0,0,0,0,0,0,Y,
104513,S000217.0+342252,000217.0+342252,wapp.20161013.a3064.0022,""" """,""" """,1,n,3,-3.53275,1,H3,1.09398,0,0,0,0,0,0,Y,
104513,S000217.0+342252,000217.0+342252,wapp.20161013.a3064.0022,""" """,""" """,1,n,4,-8.12174,0,H3,1.21449,0,0,0,0,0,0,Y,also in the off direction
